Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d,trading_date,volume (24h)
19.0,IFCInfinitecoin,IFC,151452.97,1.85e-06,81986125824,0.94,2.81,12.86,2013/10/13,0.0
20.0,GLCGoldCoin,GLC,77552.48,0.002832,27387590,0.29,1.51,6.29,2013/10/13,0.0
1.0,BTCBitcoin,BTC,2073319147.25,174.61,11874000,0.39,1.54,25.56,2013/10/20,0.0
2.0,XRPXRP,XRP,52377129.63,0.0067,7817889792,0.41,7.18,20.8,2013/10/20,0.0
3.0,LTCLitecoin,LTC,42968335.05,1.9294,22269842,0.21,2.41,9.42,2013/10/20,0.0
4.0,PPCPeercoin,PPC,6650532.18,0.323,20588066,0.94,5.67,20.54,2013/10/20,0.0
5.0,NMCNamecoin,NMC,3329028.64,0.4714,7061300,0.02,1.69,22.87,2013/10/20,0.0
6.0,NVCNovacoin,NVC,2068554.51,4.5381,455818,0.31,0.96,6.73,2013/10/20,0.0
7.0,XPMPrimecoin,XPM,1914905.51,0.725,2641319,1.67,2.05,21.87,2013/10/20,0.0
8.0,FTCFeathercoin,FTC,1428630.62,0.07159,19955700,0.02,0.36,28.22,2013/10/20,0.0
9.0,WDCWorldCoin,WDC,492548.61,0.01851,26614302,3.89,0.0,3.27,2013/10/20,0.0
10.0,TRCTerracoin,TRC,464703.08,0.1152,4032390,2.56,7.21,29.48,2013/10/20,0.0
11.0,CBXBullion,CBX,356813.8,0.4144,861106,1.01,3.25,0.0,2013/10/20,0.0
12.0,DVCDevcoin,DVC,270046.86,4.889e-05,5523469824,0.39,4.95,0.73,2013/10/20,0.0
13.0,MNCMincoin,MNC,264358.35,0.194,1362460,5.46,16.79,39.84,2013/10/20,0.0
14.0,FRCFreicoin,FRC,192525.42,0.006461,29800068,0.39,3.67,15.81,2013/10/20,0.0
15.0,MECMegacoin,MEC,192050.98,0.00963,19942124,2.67,26.06,27.28,2013/10/20,0.0
16.0,IXCIxcoin,IXC,168802.15,0.01048,16109618,0.39,32.97,34.07,2013/10/20,0.0
17.0,GLCGoldCoin,GLC,127687.8,0.004636,27544730,1.01,22.01,65.4,2013/10/20,0.0
18.0,DGCDigitalcoin,DGC,110326.84,0.01138,9695346,6.54,25.73,40.99,2013/10/20,0.0
19.0,BQCBBQCoin,BQC,62237.41,0.00241,25828746,0.39,21.85,95.53,2013/10/20,0.0
20.0,ZETZetacoin,ZET,52416.85,0.0003557,147379504,0.68,6.39,19.19,2013/10/20,0.0
1.0,BTCBitcoin,BTC,2339831246.08,196.44,11911175,1.65,10.67,12.45,2013/10/27,0.0
2.0,XRPXRP,XRP,53493201.51,0.006842,7817889792,1.65,12.3,2.0,2013/10/27,0.0
3.0,LTCLitecoin,LTC,47869216.16,2.1294,22480042,1.58,3.23,10.98,2013/10/27,0.0
4.0,PPCPeercoin,PPC,7776359.18,0.3772,20617934,1.2,17.38,18.14,2013/10/27,0.0
5.0,NMCNamecoin,NMC,3223967.8,0.4538,7104750,0.53,4.22,3.0,2013/10/27,0.0
6.0,NVCNovacoin,NVC,1922215.12,4.1626,461786,1.6,3.28,7.47,2013/10/27,0.0
7.0,XPMPrimecoin,XPM,1801599.18,0.6561,2745799,1.22,4.76,9.7,2013/10/27,0.0
8.0,FTCFeathercoin,FTC,1548705.52,0.07465,20747000,1.65,3.94,6.12,2013/10/27,0.0
9.0,TRCTerracoin,TRC,450862.3,0.11,4098510,0.88,10.83,2.62,2013/10/27,0.0
10.0,WDCWorldCoin,WDC,395415.54,0.01424,27764240,1.64,0.0,19.4,2013/10/27,0.0
11.0,DVCDevcoin,DVC,306421.17,5.5e-05,5570970112,1.65,10.74,12.17,2013/10/27,0.0
12.0,MECMegacoin,MEC,256422.86,0.01271,20172300,3.57,9.47,0.0,2013/10/27,0.0
13.0,CBXBullion,CBX,243761.41,0.279,873833,1.65,11.12,0.0,2013/10/27,0.0
14.0,MNCMincoin,MNC,160395.01,0.1177,1362460,1.12,12.08,36.8,2013/10/27,0.0
15.0,FRCFreicoin,FRC,149092.98,0.004911,30358986,1.65,8.65,24.94,2013/10/27,0.0
16.0,IXCIxcoin,IXC,143943.59,0.008859,16247474,1.65,16.76,18.37,2013/10/27,0.0
17.0,ANCAnoncoin,ANC,129781.15,0.2729,475641,2.39,13.87,0.0,2013/10/27,0.0
18.0,DGCDigitalcoin,DGC,124639.9,0.01243,10029932,1.42,8.6,0.0,2013/10/27,0.0
19.0,GLCGoldCoin,GLC,92268.49,0.003324,27760236,4.13,10.4,0.0,2013/10/27,0.0
20.0,IFCInfinitecoin,IFC,62399.56,7.3e-07,85011726336,0.75,37.05,0.0,2013/10/27,0.0
1.0,BTCBitcoin,BTC,2568713147.7,215.05,11944725,0.77,4.26,11.2,2013/11/03,0.0
2.0,LTCLitecoin,LTC,65383974.75,2.8838,22672692,2.07,5.97,34.03,2013/11/03,0.0
3.0,XRPXRP,XRP,55978082.55,0.00716,7817889792,2.37,5.04,6.37,2013/11/03,0.0
4.0,PPCPeercoin,PPC,8269006.54,0.4,20672878,0.04,3.13,7.6,2013/11/03,0.0
5.0,NMCNamecoin,NMC,4196113.79,0.5828,7200100,1.22,9.64,29.87,2013/11/03,0.0
6.0,NVCNovacoin,NVC,1991593.65,4.2515,468441,0.96,3.22,3.79,2013/11/03,0.0
7.0,XPMPrimecoin,XPM,1943272.47,0.6774,2868691,0.89,3.45,2.45,2013/11/03,0.0
8.0,FTCFeathercoin,FTC,1806331.01,0.08387,21537400,1.27,2.36,15.8,2013/11/03,0.0
9.0,WDCWorldCoin,WDC,777203.28,0.02709,28685280,8.68,7.17,86.51,2013/11/03,0.0
10.0,MNCMincoin,MNC,752030.26,0.5376,1398890,3.07,2.02,252.65,2013/11/03,0.0
11.0,TRCTerracoin,TRC,487423.34,0.1161,4197330,4.39,25.26,13.25,2013/11/03,0.0
12.0,MECMegacoin,MEC,258339.92,0.01268,20367950,0.74,0.63,2.8,2013/11/03,0.0
13.0,DVCDevcoin,DVC,253658.42,4.516e-05,5616820224,3.74,9.2,16.58,2013/11/03,0.0
14.0,CBXBullion,CBX,186529.86,0.2108,884972,12.17,4.45,22.23,2013/11/03,0.0
15.0,IXCIxcoin,IXC,183018.46,0.01118,16372658,0.84,8.3,27.82,2013/11/03,0.0
16.0,FRCFreicoin,FRC,169416.58,0.005484,30894152,0.84,6.25,8.08,2013/11/03,0.0
17.0,DGCDigitalcoin,DGC,123461.97,0.01203,10259260,5.81,3.34,6.94,2013/11/03,0.0
18.0,ANCAnoncoin,ANC,121635.99,0.2495,487601,0.84,6.4,7.44,2013/11/03,0.0
19.0,IFCInfinitecoin,IFC,82466.66,9.6e-07,85706964992,0.08,3.75,1.28,2013/11/03,0.0
20.0,QRKQuark,QRK,51884.95,0.000215,241269248,14.59,46.15,99.67,2013/11/03,0.0
1.0,BTCBitcoin,BTC,3910613036.04,326.62,11972975,0.78,4.22,52.6,2013/11/10,0.0
2.0,LTCLitecoin,LTC,90017168.4,3.9325,22890542,1.46,7.09,34.62,2013/11/10,0.0
3.0,XRPXRP,XRP,67307326.84,0.008609,7817889792,0.67,0.89,19.52,2013/11/10,0.0
4.0,PPCPeercoin,PPC,12720279.23,0.614,20715528,2.18,5.65,53.81,2013/11/10,0.0
5.0,NMCNamecoin,NMC,4624532.62,0.6369,7260900,2.12,4.62,13.6,2013/11/10,0.0
6.0,NVCNovacoin,NVC,2458420.76,5.1737,475180,0.07,1.47,22.44,2013/11/10,0.0
7.0,FTCFeathercoin,FTC,2408398.36,0.1078,22344550,0.78,3.86,28.46,2013/11/10,0.0
8.0,XPMPrimecoin,XPM,2255477.92,0.7545,2989399,1.72,8.16,11.27,2013/11/10,0.0
9.0,WDCWorldCoin,WDC,1003540.14,0.03364,29833000,4.16,1.77,32.89,2013/11/10,0.0
10.0,TRCTerracoin,TRC,599258.97,0.1404,4266810,1.79,8.03,24.5,2013/11/10,0.0
11.0,CBXBullion,CBX,472541.19,0.5275,895828,4.39,24.48,153.34,2013/11/10,0.0
12.0,MNCMincoin,MNC,457336.73,0.3266,1400210,0.78,31.77,36.0,2013/11/10,0.0
13.0,DVCDevcoin,DVC,388413.93,6.859e-05,5662819840,0.78,16.9,39.9,2013/11/10,0.0
14.0,CLRCopperlark,CLR,315161.62,0.06859,4594849,1.03,5.92,6.4,2013/11/10,0.0
15.0,MECMegacoin,MEC,298283.64,0.0145,20568550,1.19,1.5,13.71,2013/11/10,0.0
16.0,IXCIxcoin,IXC,274793.49,0.01666,16493330,0.8,21.67,52.86,2013/11/10,0.0
17.0,FRCFreicoin,FRC,216303.13,0.006839,31625932,0.78,7.44,21.31,2013/11/10,0.0
18.0,DGCDigitalcoin,DGC,169845.8,0.01618,10496778,0.8,6.19,28.88,2013/11/10,0.0
19.0,GLCGoldCoin,GLC,135759.47,0.004824,28141476,3.26,4.0,0.0,2013/11/10,0.0
20.0,ANCAnoncoin,ANC,120244.92,0.2386,504031,0.03,1.66,3.04,2013/11/10,0.0
1.0,BTCBitcoin,BTC,5907841887.89,492.11,12005125,1.31,11.34,55.65,2013/11/17,0.0
2.0,LTCLitecoin,LTC,94452809.89,4.0894,23096792,3.21,5.33,8.81,2013/11/17,0.0
3.0,XRPXRP,XRP,79811364.08,0.01021,7817889792,1.73,0.82,22.2,2013/11/17,0.0
4.0,PPCPeercoin,PPC,15956728.66,0.7689,20752612,4.92,7.51,30.83,2013/11/17,0.0
5.0,NMCNamecoin,NMC,4578176.84,0.6255,7319500,0.85,3.68,1.29,2013/11/17,0.0
6.0,NVCNovacoin,NVC,2355870.65,4.87,483751,0.53,4.06,4.42,2013/11/17,0.0
7.0,XPMPrimecoin,XPM,2119653.38,0.6889,3076647,1.55,9.57,4.71,2013/11/17,0.0
8.0,WDCWorldCoin,WDC,1554778.74,0.05015,31005034,3.71,9.34,57.3,2013/11/17,0.0
9.0,FTCFeathercoin,FTC,1388509.41,0.06004,23127400,27.02,35.66,42.86,2013/11/17,0.0
10.0,CBXBullion,CBX,1031000.99,1.1443,900959,1.45,3.43,128.64,2013/11/17,0.0
11.0,DVCDevcoin,DVC,477500.44,8.366e-05,5707720192,1.31,11.34,24.89,2013/11/17,0.0
12.0,MECMegacoin,MEC,347575.15,0.01673,20773400,2.73,17.32,16.1,2013/11/17,0.0
13.0,IXCIxcoin,IXC,294130.62,0.01772,16602578,1.31,1.65,13.06,2013/11/17,0.0
14.0,CLRCopperlark,CLR,278987.93,0.05905,4724349,1.32,30.9,12.61,2013/11/17,0.0
15.0,DGCDigitalcoin,DGC,261038.27,0.02441,10694496,2.64,22.27,55.02,2013/11/17,0.0
16.0,MNCMincoin,MNC,259347.21,0.1847,1404238,4.66,24.03,32.11,2013/11/17,0.0
17.0,TRCTerracoin,TRC,212057.32,0.04927,4304410,1.21,1.17,63.78,2013/11/17,0.0
18.0,FRCFreicoin,FRC,190930.6,0.005905,32331966,6.05,2.71,10.8,2013/11/17,0.0
19.0,GLCGoldCoin,GLC,163176.78,0.005763,28316480,0.84,2.47,31.61,2013/11/17,0.0
20.0,ANCAnoncoin,ANC,136914.44,0.2628,520971,2.06,4.96,10.13,2013/11/17,0.0
1.0,BTCBitcoin,BTC,9317034156.25,774.25,12033625,0.89,2.56,57.66,2013/11/24,0.0
2.0,LTCLitecoin,LTC,242572318.54,10.41,23310992,0.42,1.41,150.93,2013/11/24,0.0
3.0,XRPXRP,XRP,91218427.45,0.01167,7817889792,0.28,19.85,12.92,2013/11/24,0.0
4.0,PPCPeercoin,PPC,45055424.12,2.1679,20782980,4.93,22.55,170.46,2013/11/24,0.0
5.0,NMCNamecoin,NMC,20001994.64,2.7099,7381150,0.63,1.18,339.02,2013/11/24,0.0
6.0,PTSBitShares PTS,PTS,7490654.02,7.9206,945721,4.04,6.19,0.0,2013/11/24,0.0
7.0,FTCFeathercoin,FTC,5557748.31,0.2323,23927450,3.2,11.13,193.4,2013/11/24,0.0
8.0,XPMPrimecoin,XPM,5360236.8,1.6956,3161249,2.55,8.46,159.02,2013/11/24,0.0
9.0,NVCNovacoin,NVC,4059827.38,8.1993,495143,0.25,0.37,70.25,2013/11/24,0.0
10.0,WDCWorldCoin,WDC,2987078.31,0.0929,32152914,8.02,0.15,86.02,2013/11/24,0.0
11.0,MECMegacoin,MEC,2859161.65,0.1363,20981900,2.46,54.31,750.51,2013/11/24,0.0
12.0,CBXBullion,CBX,1846880.68,2.0392,905680,1.61,4.23,74.71,2013/11/24,0.0
13.0,FRCFreicoin,FRC,1179399.59,0.03562,33114784,0.91,19.36,478.68,2013/11/24,0.0
14.0,IXCIxcoin,IXC,1035452.98,0.06193,16719122,0.89,59.03,250.33,2013/11/24,0.0
15.0,ANCAnoncoin,ANC,958863.75,1.7809,538413,3.65,30.6,590.89,2013/11/24,0.0
16.0,DVCDevcoin,DVC,846444.75,0.0001471,5753920000,0.69,0.15,77.81,2013/11/24,0.0
17.0,DGCDigitalcoin,DGC,681230.63,0.0627,10865136,3.52,56.15,183.48,2013/11/24,0.0
18.0,IFCInfinitecoin,IFC,629489.07,7.17e-06,87817371648,0.51,12.5,365.83,2013/11/24,0.0
19.0,TRCTerracoin,TRC,605768.1,0.1394,4346630,4.24,6.21,176.79,2013/11/24,0.0
20.0,BQCBBQCoin,BQC,573644.6,0.0209,27440874,1.51,60.58,1081.06,2013/11/24,0.0
1.0,BTCBitcoin,BTC,11531708652.96,955.85,12064350,0.94,15.47,22.1,2013/12/01,0.0
2.0,LTCLitecoin,LTC,817326372.71,34.74,23529942,1.42,14.91,231.88,2013/12/01,0.0
3.0,XRPXRP,XRP,402593977.4,0.0515,7817889792,1.49,32.27,342.0,2013/12/01,0.0
4.0,PPCPeercoin,PPC,133213784.09,6.3851,20863298,2.2,17.55,197.14,2013/12/01,0.0
5.0,NMCNamecoin,NMC,62668948.41,8.421,7441950,0.55,17.15,214.37,2013/12/01,0.0
6.0,QRKQuark,QRK,61041537.07,0.2485,245628672,2.37,0.0,9000.0,2013/12/01,0.0
7.0,MECMegacoin,MEC,31753577.99,1.5055,21092224,10.47,35.65,943.84,2013/12/01,0.0
8.0,PTSBitShares PTS,PTS,24532015.38,24.71,992689,18.58,0.0,213.51,2013/12/01,0.0
9.0,FTCFeathercoin,FTC,24154271.26,0.975,24774450,2.14,25.8,301.48,2013/12/01,0.0
10.0,XPMPrimecoin,XPM,18467629.33,5.5439,3331144,5.31,22.84,209.75,2013/12/01,0.0
11.0,WDCWorldCoin,WDC,16223784.23,0.4875,33281990,4.62,0.0,459.48,2013/12/01,0.0
12.0,FRCFreicoin,FRC,10905476.8,0.3221,33855172,1.02,30.07,753.76,2013/12/01,0.0
13.0,NVCNovacoin,NVC,10848054.0,21.54,503734,0.38,15.31,163.86,2013/12/01,0.0
14.0,BQCBBQCoin,BQC,6523733.24,0.2342,27857386,0.27,0.0,904.86,2013/12/01,0.0
15.0,ZETZetacoin,ZET,5959034.15,0.03783,157510800,6.34,5.11,5676.86,2013/12/01,0.0
16.0,IFCInfinitecoin,IFC,5763848.99,6.539e-05,88138989568,1.1,15.91,813.81,2013/12/01,0.0
17.0,TRCTerracoin,TRC,5460825.59,1.2139,4498470,2.23,19.07,720.49,2013/12/01,0.0
18.0,CBXBullion,CBX,4352024.72,4.7793,910599,5.6,22.15,135.9,2013/12/01,0.0
19.0,DVCDevcoin,DVC,3631041.48,0.0006262,5798070272,2.27,1.3,329.65,2013/12/01,0.0
20.0,ANCAnoncoin,ANC,3503695.91,6.3086,555383,11.17,35.71,224.85,2013/12/01,0.0
1.0,BTCBitcoin,BTC,9627500053.68,795.87,12096825,0.71,13.03,17.53,2013/12/08,0.0
2.0,LTCLitecoin,LTC,648135180.44,27.27,23763442,0.58,16.09,19.39,2013/12/08,0.0
3.0,XRPXRP,XRP,285005350.24,0.03646,7817889792,0.03,9.32,32.65,2013/12/08,0.0
4.0,PPCPeercoin,PPC,84643503.94,4.051,20894584,2.93,19.63,35.1,2013/12/08,0.0
5.0,NMCNamecoin,NMC,46654461.57,6.2874,7420343,1.89,16.97,23.83,2013/12/08,0.0
6.0,QRKQuark,QRK,26259005.81,0.1067,246040928,1.34,25.57,56.01,2013/12/08,0.0
7.0,WDCWorldCoin,WDC,26148372.94,0.7601,34401424,2.32,44.09,62.47,2013/12/08,0.0
8.0,MECMegacoin,MEC,21083628.39,0.9948,21193376,3.49,1.18,36.79,2013/12/08,0.0
9.0,XPMPrimecoin,XPM,12090897.08,3.5018,3452739,3.15,25.59,34.68,2013/12/08,0.0
10.0,FTCFeathercoin,FTC,11388199.45,0.4457,25552000,2.71,30.07,52.87,2013/12/08,0.0
11.0,NVCNovacoin,NVC,8671710.8,16.94,512025,0.09,12.59,21.38,2013/12/08,0.0
12.0,ZETZetacoin,ZET,5725811.69,0.03621,158118800,19.01,324.67,7.47,2013/12/08,0.0
13.0,FRCFreicoin,FRC,4514680.76,0.1326,34035136,0.53,0.96,59.39,2013/12/08,0.0
14.0,ANCAnoncoin,ANC,4147469.68,7.2423,572673,2.63,47.92,15.99,2013/12/08,0.0
15.0,NXTNxt,NXT,3979349.97,0.003979,1000000000,1.95,34.41,0.0,2013/12/08,0.0
16.0,IFCInfinitecoin,IFC,3552186.57,4.016e-05,88460771328,1.24,75.22,35.95,2013/12/08,0.0
17.0,TRCTerracoin,TRC,2940547.25,0.6447,4561430,1.74,31.47,42.6,2013/12/08,0.0
18.0,CBXBullion,CBX,2915897.78,3.1835,915947,0.84,18.84,32.09,2013/12/08,0.0
19.0,SBCStableCoin,SBC,2486227.64,0.2945,8443005,7.77,0.0,131.53,2013/12/08,0.0
20.0,BQCBBQCoin,BQC,2272191.51,0.08037,28269910,1.39,51.75,62.25,2013/12/08,0.0
1.0,BTCBitcoin,BTC,10625517591.78,876.12,12127925,0.08,0.21,11.75,2013/12/15,0.0
2.0,LTCLitecoin,LTC,750162075.22,31.28,23984092,0.15,2.67,16.14,2013/12/15,0.0
3.0,XRPXRP,XRP,227789115.66,0.02914,7817889792,0.32,8.77,18.7,2013/12/15,0.0
4.0,PPCPeercoin,PPC,91649291.87,4.3806,20921630,1.49,2.43,7.18,2013/12/15,0.0
5.0,QRKQuark,QRK,45754312.27,0.1857,246373520,0.02,2.99,74.26,2013/12/15,0.0
6.0,NMCNamecoin,NMC,43908870.14,5.8612,7491393,0.47,0.76,5.15,2013/12/15,0.0
7.0,WDCWorldCoin,WDC,22368317.29,0.6306,35472192,0.08,0.91,12.88,2013/12/15,0.0
8.0,PTSBitShares PTS,PTS,21565737.77,18.73,1151312,0.22,4.27,5.13,2013/12/15,0.0
9.0,MECMegacoin,MEC,18619300.28,0.8744,21294800,0.22,0.23,10.04,2013/12/15,0.0
10.0,XPMPrimecoin,XPM,14201579.12,3.9601,3586201,2.11,1.28,13.25,2013/12/15,0.0
11.0,FTCFeathercoin,FTC,11783591.36,0.4468,26372050,1.89,2.66,2.68,2013/12/15,0.0
12.0,ZETZetacoin,ZET,10140250.85,0.06393,158613728,0.22,6.64,106.44,2013/12/15,0.0
13.0,DVCDevcoin,DVC,9706426.25,0.001647,5893020160,2.22,25.46,411.83,2013/12/15,0.0
14.0,NVCNovacoin,NVC,9066531.49,17.43,520025,0.68,0.76,3.17,2013/12/15,0.0
15.0,NXTNxt,NXT,7429497.78,0.00743,1000000000,11.18,41.19,80.43,2013/12/15,0.0
16.0,DGCDigitalcoin,DGC,6431612.06,0.5606,11472132,0.22,20.91,279.71,2013/12/15,0.0
17.0,IFCInfinitecoin,IFC,5478057.12,6.17e-05,88785371136,0.67,11.13,41.76,2013/12/15,0.0
18.0,FRCFreicoin,FRC,5110690.82,0.1489,34313664,1.06,5.99,13.8,2013/12/15,0.0
19.0,ANCAnoncoin,ANC,3497227.45,5.9316,589593,5.73,5.87,9.43,2013/12/15,0.0
20.0,CLRCopperlark,CLR,3344091.57,0.6392,5231399,2.21,21.15,152.47,2013/12/15,0.0
1.0,BTCBitcoin,BTC,7505757333.43,617.18,12161375,0.68,2.42,29.26,2013/12/22,0.0
2.0,LTCLitecoin,LTC,407576814.52,16.86,24181092,0.21,0.65,45.92,2013/12/22,0.0
3.0,XRPXRP,XRP,169773560.84,0.02172,7817889792,0.88,0.61,25.01,2013/12/22,0.0
4.0,PPCPeercoin,PPC,64141315.83,3.0612,20952910,0.58,0.64,30.43,2013/12/22,0.0
5.0,NXTNxt,NXT,33240148.04,0.03324,999998016,9.54,83.1,370.48,2013/12/22,0.0
6.0,NMCNamecoin,NMC,30563713.11,4.0425,7560543,1.2,0.95,30.6,2013/12/22,0.0
7.0,QRKQuark,QRK,20966260.3,0.08499,246703424,0.16,2.97,53.66,2013/12/22,0.0
8.0,PTSBitShares PTS,PTS,15276674.7,12.91,1183445,0.75,2.08,22.61,2013/12/22,0.0
9.0,WDCWorldCoin,WDC,14089213.89,0.3853,36564004,3.13,1.54,35.21,2013/12/22,0.0
10.0,MECMegacoin,MEC,11094799.84,0.5186,21395624,1.25,0.2,37.18,2013/12/22,0.0
11.0,XPMPrimecoin,XPM,7517762.08,2.0367,3691159,1.71,1.06,47.59,2013/12/22,0.0
12.0,FTCFeathercoin,FTC,7045544.63,0.2592,27180250,1.21,3.35,40.37,2013/12/22,0.0
13.0,NVCNovacoin,NVC,6087466.25,11.5,529434,0.95,1.67,33.71,2013/12/22,0.0
14.0,ZETZetacoin,ZET,5296156.92,0.0333,159029264,3.64,5.91,45.64,2013/12/22,0.0
15.0,DOGEDogecoin,DOGE,3706589.8,0.0003148,11775856640,3.04,20.97,33.05,2013/12/22,0.0
16.0,IFCInfinitecoin,IFC,3154708.7,3.54e-05,89110020096,2.44,1.81,41.55,2013/12/22,0.0
17.0,DVCDevcoin,DVC,3152653.92,0.0005308,5939720192,0.35,1.86,66.75,2013/12/22,0.0
18.0,FRCFreicoin,FRC,2787772.87,0.0803,34719084,4.52,6.76,46.03,2013/12/22,0.0
19.0,DGCDigitalcoin,DGC,2419598.18,0.2076,11654357,4.24,14.26,61.24,2013/12/22,0.0
20.0,CLRCopperlark,CLR,2281039.22,0.4257,5358249,0.65,0.78,32.95,2013/12/22,0.0
1.0,BTCBitcoin,BTC,9082103472.45,745.05,12189925,0.1,1.96,17.84,2013/12/29,19011344.0
2.0,LTCLitecoin,LTC,586899831.49,24.07,24387992,0.94,6.35,39.97,2013/12/29,11384235.0
3.0,XRPXRP,XRP,212783895.27,0.02722,7817889792,0.27,0.33,22.27,2013/12/29,56771.56
4.0,OMNIOmni,OMNI,111753184.65,180.4,619478,0.05,6.45,0.0,2013/12/29,256754.03
5.0,PPCPeercoin,PPC,89891412.39,4.284,20982872,0.3,1.12,37.05,2013/12/29,540364.44
6.0,NXTNxt,NXT,56123014.95,0.05612,999998016,0.16,4.0,59.9,2013/12/29,501303.94
7.0,NMCNamecoin,NMC,38151789.93,5.0067,7620093,0.23,3.74,22.58,2013/12/29,608204.56
8.0,QRKQuark,QRK,27406774.15,0.111,246896752,0.71,4.15,27.17,2013/12/29,107893.75
9.0,PTSBitShares PTS,PTS,25317603.81,20.76,1219272,5.31,0.0,62.16,2013/12/29,38473.83
10.0,WDCWorldCoin,WDC,19546847.28,0.519,37664548,4.28,6.21,30.83,2013/12/29,123416.81
11.0,MECMegacoin,MEC,18066158.45,0.8404,21496676,1.84,2.46,58.27,2013/12/29,47377.97
12.0,XPMPrimecoin,XPM,10266259.43,2.712,3785519,1.37,4.52,29.59,2013/12/29,61540.21
13.0,IFCInfinitecoin,IFC,9681912.75,0.0001084,89307070464,0.6,27.96,193.06,2013/12/29,115791.45
14.0,FTCFeathercoin,FTC,9589252.79,0.3427,27979600,1.8,2.01,28.93,2013/12/29,63072.83
15.0,DOGEDogecoin,DOGE,7634725.53,0.0004545,16798796800,0.98,1.76,43.74,2013/12/29,360974.5
16.0,NVCNovacoin,NVC,7426824.86,13.78,538823,0.36,2.2,17.76,2013/12/29,34403.87
17.0,ZETZetacoin,ZET,5652165.71,0.03549,159242032,4.47,6.83,7.0,2013/12/29,8992.33
18.0,DVCDevcoin,DVC,3791059.92,0.0006333,5986270208,0.1,1.11,16.67,2013/12/29,4701.0
19.0,ANCAnoncoin,ANC,2879432.55,4.6194,623335,0.03,0.13,22.83,2013/12/29,5745.18
20.0,DGCDigitalcoin,DGC,2846070.43,0.2405,11835701,0.14,0.91,5.0,2013/12/29,19775.66
